gap_index_n,c_n,c_n_plus_1,delta_c,log10_delta_c,p_n,q_n,k_n,d_n,p_n_plus_1,q_n_plus_1,k_n_plus_1,d_n_plus_1
1,10841,13719821,13708980,7.137005142838,29,100,0,1,1459,5031,1,2
2,13719821,14832325,1112504,6.046301581158,1459,5031,1,2,1517,5231,1,2
3,14832325,15988193,1155868,6.062908240534,1517,5231,1,2,1575,5431,1,2
4,15988193,17187425,1199232,6.078903208598,1575,5431,1,2,1633,5631,1,2
5,17187425,18430021,1242596,6.094329951256,1633,5631,1,2,1691,5831,1,2
6,18430021,19715981,1285960,6.109227459996,1691,5831,1,2,1749,6031,1,2
7,19715981,21045305,1329324,6.123630845700,1749,6031,1,2,1807,6231,1,2
8,21045305,22417993,1372688,6.137571837108,1807,6231,1,2,1865,6431,1,2
9,22417993,23834045,1416052,6.151079201728,1865,6431,1,2,1923,6631,1,2
10,23834045,25293461,1459416,6.164179103239,1923,6631,1,2,1981,6831,1,2
11,25293461,26796241,1502780,6.176895406549,1981,6831,1,2,2039,7031,1,2
12,26796241,28342385,1546144,6.189249939448,2039,7031,1,2,2097,7231,1,2
13,28342385,28541305,198920,5.298678450560,2097,7231,1,2,1488,5131,1,1
14,28541305,29931893,1390588,6.143198477346,1488,5131,1,1,2155,7431,1,2
15,29931893,30809677,877784,5.943387660383,2155,7431,1,2,1546,5331,1,1
16,30809677,31564765,755088,5.877997568434,1546,5331,1,1,2213,7631,1,2
17,31564765,33164777,1600012,6.204123239852,2213,7631,1,2,1604,5531,1,1
18,33164777,33241001,76224,4.882091735467,1604,5531,1,1,2271,7831,1,2
19,33241001,34960601,1719600,6.235427436445,2271,7831,1,2,2329,8031,1,2
20,34960601,35606605,646004,5.810235207117,2329,8031,1,2,1662,5731,1,1
21,35606605,36723565,1116960,6.048037620662,1662,5731,1,1,2387,8231,1,2
22,36723565,38135161,1411596,6.149710419042,2387,8231,1,2,1720,5931,1,1
23,38135161,38529893,394732,5.596302335061,1720,5931,1,1,2445,8431,1,2
24,38529893,40379585,1849692,6.267099418221,2445,8431,1,2,2503,8631,1,2
25,40379585,40750445,370860,5.569209993975,2503,8631,1,2,1778,6131,1,1
26,40750445,42272641,1522196,6.182470576375,1778,6131,1,1,2561,8831,1,2
27,42272641,43452457,1179816,6.071814281530,2561,8831,1,2,1836,6331,1,1
28,43452457,44209061,756604,5.878868632983,1836,6331,1,1,2619,9031,1,2
29,44209061,46188845,1979784,6.296617810097,2619,9031,1,2,2677,9231,1,2
30,46188845,46241197,52352,4.718933277655,2677,9231,1,2,1894,6531,1,1
31,46241197,48211993,1970796,6.294641672144,1894,6531,1,1,2735,9431,1,2
32,48211993,49116665,904672,5.956491148918,2735,9431,1,2,1952,6731,1,1
33,49116665,50278505,1161840,6.065146324352,1952,6731,1,1,2793,9631,1,2
34,50278505,52078861,1800356,6.255358390408,2793,9631,1,2,2010,6931,1,1
35,52078861,52388381,309520,5.490688716713,2010,6931,1,1,2851,9831,1,2
36,52388381,54541621,2153240,6.333092438958,2851,9831,1,2,2909,10031,1,2
37,54541621,55127785,586164,5.768019142179,2909,10031,1,2,2068,7131,1,1
38,55127785,56738225,1610440,6.206944548992,2068,7131,1,1,2967,10231,1,2
39,56738225,58263437,1525212,6.183330213539,2967,10231,1,2,2126,7331,1,1
40,58263437,58978193,714756,5.854157809719,2126,7331,1,1,3025,10431,1,2
41,58978193,61261525,2283332,6.358569063170,3025,10431,1,2,3083,10631,1,2
42,61261525,61485817,224292,5.350813783535,3083,10631,1,2,2184,7531,1,1
43,61485817,63588221,2102404,6.322716174162,2184,7531,1,1,3141,10831,1,2
44,63588221,64794925,1206704,6.081600752341,3141,10831,1,2,2242,7731,1,1
45,64794925,65958281,1163356,6.065712634055,2242,7731,1,1,3199,11031,1,2
46,65958281,68190761,2232480,6.348787576887,3199,11031,1,2,2300,7931,1,1
47,68190761,68371705,180944,5.257544186725,2300,7931,1,1,3257,11231,1,2
48,68371705,70828493,2456788,6.390367682161,3257,11231,1,2,3315,11431,1,2
49,70828493,71673325,844832,5.926770355427,3315,11431,1,2,2358,8131,1,1
50,71673325,73328645,1655320,6.218881962342,2358,8131,1,1,3373,11631,1,2
51,73328645,75242617,1913972,6.281935580079,3373,11631,1,2,2416,8331,1,1
52,75242617,75872161,629544,5.799026089153,2416,8331,1,1,3431,11831,1,2
53,75872161,78459041,2586880,6.412776283163,3431,11831,1,2,3489,12031,1,2
54,78459041,78898637,439596,5.643053732009,3489,12031,1,2,2474,8531,1,1
55,78898637,81089285,2190648,6.340572599405,2474,8531,1,1,3547,12231,1,2
56,81089285,82641385,1552100,6.190919698913,3547,12231,1,2,2532,8731,1,1
57,82641385,83762893,1121508,6.049802375862,2532,8731,1,1,3605,12431,1,2
58,83762893,86470861,2707968,6.432643527995,3605,12431,1,2,2590,8931,1,1
59,86470861,86479865,9004,3.954435486328,2590,8931,1,1,3663,12631,1,2
60,86479865,89240201,2760336,6.440961949480,3663,12631,1,2,3721,12831,1,2
61,89240201,90387065,1146864,6.059511920472,3721,12831,1,2,2648,9131,1,1
62,90387065,92043901,1656836,6.219279522409,2648,9131,1,1,3779,13031,1,2
63,92043901,94389997,2346096,6.370345779057,3779,13031,1,2,2706,9331,1,1
64,94389997,94890965,500968,5.699809985613,2706,9331,1,1,3837,13231,1,2
65,94890965,97781393,2890428,6.460962155655,3837,13231,1,2,3895,13431,1,2
66,97781393,98479657,698264,5.844019651945,3895,13431,1,2,2764,9531,1,1
67,98479657,100715185,2235528,6.349380113779,2764,9531,1,1,3953,13631,1,2
68,100715185,102656045,1940860,6.287994209566,3953,13631,1,2,2822,9731,1,1
69,102656045,103692341,1036296,6.015483821824,2822,9731,1,1,4011,13831,1,2
70,103692341,106712861,3020520,6.480081715702,4011,13831,1,2,4069,14031,1,2
71,106712861,106919161,206300,5.314499227973,4069,14031,1,2,2880,9931,1,1
72,106919161,109776745,2857584,6.455999005542,2880,9931,1,1,4127,14231,1,2
73,109776745,111269005,1492260,6.173844497887,4127,14231,1,2,2938,10131,1,1
74,111269005,111951053,682048,5.833814939761,2938,10131,1,1,2947,10162,2,1
75,111951053,112883993,932940,5.969853713943,2947,10162,2,1,4185,14431,1,2
76,112883993,115705577,2821584,6.450492983968,4185,14431,1,2,2996,10331,1,1
77,115705577,116034605,329028,5.517232857610,2996,10331,1,1,4243,14631,1,2
78,116034605,116401069,366464,5.564031317669,4243,14631,1,2,3005,10362,2,1
79,116401069,119228581,2827512,6.451404456753,3005,10362,2,1,4301,14831,1,2
80,119228581,120228877,1000296,6.000128532145,4301,14831,1,2,3054,10531,1,1
