gap_index_n,c_n,c_n_plus_1,delta_c,log10_delta_c
1,10841,13719821,13708980,7.137005142838
2,13719821,14832325,1112504,6.046301581158
3,14832325,15988193,1155868,6.062908240534
4,15988193,17187425,1199232,6.078903208598
5,17187425,18430021,1242596,6.094329951256
6,18430021,19715981,1285960,6.109227459996
7,19715981,21045305,1329324,6.123630845700
8,21045305,22417993,1372688,6.137571837108
9,22417993,23834045,1416052,6.151079201728
10,23834045,25293461,1459416,6.164179103239
11,25293461,26796241,1502780,6.176895406549
12,26796241,28342385,1546144,6.189249939448
13,28342385,28541305,198920,5.298678450560
14,28541305,29931893,1390588,6.143198477346
15,29931893,30809677,877784,5.943387660383
16,30809677,31564765,755088,5.877997568434
17,31564765,33164777,1600012,6.204123239852
18,33164777,33241001,76224,4.882091735467
19,33241001,34960601,1719600,6.235427436445
20,34960601,35606605,646004,5.810235207117
21,35606605,36723565,1116960,6.048037620662
22,36723565,38135161,1411596,6.149710419042
23,38135161,38529893,394732,5.596302335061
24,38529893,40379585,1849692,6.267099418221
25,40379585,40750445,370860,5.569209993975
26,40750445,42272641,1522196,6.182470576375
27,42272641,43452457,1179816,6.071814281530
28,43452457,44209061,756604,5.878868632983
29,44209061,46188845,1979784,6.296617810097
30,46188845,46241197,52352,4.718933277655
31,46241197,48211993,1970796,6.294641672144
32,48211993,49116665,904672,5.956491148918
33,49116665,50278505,1161840,6.065146324352
34,50278505,52078861,1800356,6.255358390408
35,52078861,52388381,309520,5.490688716713
36,52388381,54541621,2153240,6.333092438958
37,54541621,55127785,586164,5.768019142179
38,55127785,56738225,1610440,6.206944548992
39,56738225,58263437,1525212,6.183330213539
40,58263437,58978193,714756,5.854157809719
41,58978193,61261525,2283332,6.358569063170
42,61261525,61485817,224292,5.350813783535
43,61485817,63588221,2102404,6.322716174162
44,63588221,64794925,1206704,6.081600752341
45,64794925,65958281,1163356,6.065712634055
46,65958281,68190761,2232480,6.348787576887
47,68190761,68371705,180944,5.257544186725
48,68371705,70828493,2456788,6.390367682161
49,70828493,71673325,844832,5.926770355427
50,71673325,73328645,1655320,6.218881962342
51,73328645,75242617,1913972,6.281935580079
52,75242617,75872161,629544,5.799026089153
53,75872161,78459041,2586880,6.412776283163
54,78459041,78898637,439596,5.643053732009
55,78898637,81089285,2190648,6.340572599405
56,81089285,82641385,1552100,6.190919698913
57,82641385,83762893,1121508,6.049802375862
58,83762893,86470861,2707968,6.432643527995
59,86470861,86479865,9004,3.954435486328
60,86479865,89240201,2760336,6.440961949480
61,89240201,90387065,1146864,6.059511920472
62,90387065,92043901,1656836,6.219279522409
63,92043901,94389997,2346096,6.370345779057
64,94389997,94890965,500968,5.699809985613
65,94890965,97781393,2890428,6.460962155655
66,97781393,98479657,698264,5.844019651945
67,98479657,100715185,2235528,6.349380113779
68,100715185,102656045,1940860,6.287994209566
69,102656045,103692341,1036296,6.015483821824
70,103692341,106712861,3020520,6.480081715702
71,106712861,106919161,206300,5.314499227973
72,106919161,109776745,2857584,6.455999005542
73,109776745,111269005,1492260,6.173844497887
74,111269005,111951053,682048,5.833814939761
75,111951053,112883993,932940,5.969853713943
76,112883993,115705577,2821584,6.450492983968
77,115705577,116034605,329028,5.517232857610
78,116034605,116401069,366464,5.564031317669
79,116401069,119228581,2827512,6.451404456753
80,119228581,120228877,1000296,6.000128532145
81,120228877,120937813,708936,5.850607030527
82,120937813,122465921,1528108,6.184154049362
83,122465921,124838905,2372984,6.375294809968
84,124838905,125561285,722380,5.858765713482
85,125561285,125746625,185340,5.267969158685
86,125746625,126772537,1025912,6.011110109749
87,126772537,129070693,2298156,6.361379505484
88,129070693,129535661,464968,5.667423064929
89,129535661,130110049,574388,5.759205358135
90,130110049,130271485,161436,5.208000388242
91,130271485,132438125,2166640,6.335786756727
92,132438125,134319145,1881020,6.274393413224
93,134319145,135068413,749268,5.874637184993
94,135068413,135848921,780508,5.892377358825
95,135848921,136915165,1066244,6.027856600308
96,136915165,139189357,2274192,6.356827127467
97,139189357,139303081,113724,5.055852126672
98,139303081,139952069,648988,5.812236666628
99,139952069,140382769,430700,5.634174871763
