index,short_leg,long_leg,hypotenuse,p,q,d,u,minimum_sampled_separation,maximum_sampled_relative_energy_error
1,85,132,157,5,17,2,0.2941176470588235,0.000363089375832,2.19374460682e-09
2,279,440,521,9,31,2,0.2903225806451613,0.000368055555634,1.39482009269e-09
3,336,527,625,7,24,1,0.2916666666666667,0.000101920396065,5.18070167187e-09
4,984,1537,1825,12,41,1,0.2926829268292683,1.42534692907e-05,6.27762392674e-08
5,1235,1932,2293,19,65,2,0.2923076923076923,2.87029039179e-06,3.10971790472e-06
6,1760,2769,3281,16,55,1,0.2909090909090909,0.000346762874844,1.87122461232e-09
7,1817,2856,3385,23,79,2,0.2911392405063291,0.000262107010155,2.20166043154e-09
8,1972,3075,3653,17,58,1,0.293103448275862,0.000108657515455,1.74201656841e-09
9,2196,3397,4045,18,61,1,0.2950819672131147,9.23162325435e-05,5.97734442455e-09
10,2871,4480,5321,29,99,2,0.2929292929292929,5.78464479786e-05,6.89840932373e-09
